Label (Grouping),['Total', 'Less than $10000', '$10000 to $14999', '$15000 to $24999', '$25000 to $34999', '$35000 to $49999', '$50000 to $74999', '$75000 to $99999', '$100000 to $149999', '$150000 to $199999', '$200000 or more', 'Median income (dollars)', 'Mean income (dollars)', 'PERCENT ALLOCATED', 'Household income in the past 12 months', 'Family income in the past 12 months', 'Nonfamily income in the past 12 months']
10115 Nonfamily households Estimate,['0', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '', '(X)', '(X)', '-']
10115 Nonfamily households Margin of Error,['±13', '**', '**', '**', '**', '**', '**', '**', '**', '**', '**', '**', '**', '', '(X)', '(X)', '(X)']
10119 Households Estimate,['0', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '', '-', '(X)', '(X)']
10119 Households Margin of Error,['±13', '**', '**', '**', '**', '**', '**', '**', '**', '**', '**', '**', '**', '', '(X)', '(X)', '(X)']
10119 Families Estimate,['0', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '', '(X)', '-', '(X)']
10119 Families Margin of Error,['±13', '**', '**', '**', '**', '**', '**', '**', '**', '**', '**', '**', '**', '', '(X)', '(X)', '(X)']
10119 Married-couple families Estimate,['0', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '', '(X)', '(X)', '(X)']
10119 Married-couple families Margin of Error,['±13', '**', '**', '**', '**', '**', '**', '**', '**', '**', '**', '**', '**', '', '(X)', '(X)', '(X)']
10119 Nonfamily households Estimate,['0', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '', '(X)', '(X)', '-']
10119 Nonfamily households Margin of Error,['±13', '**', '**', '**', '**', '**', '**', '**', '**', '**', '**', '**', '**', '', '(X)', '(X)', '(X)']
10128 Households Estimate,['29351', '5.3%', '2.7%', '4.2%', '5.3%', '3.4%', '9.9%', '10.4%', '14.9%', '10.9%', '33.0%', '127919', '218422', '', '31.5%', '(X)', '(X)']
10128 Households Margin of Error,['±1358', '±1.9', '±1.3', '±1.1', '±2.3', '±1.0', '±2.0', '±2.0', '±2.2', '±1.4', '±2.7', '±10591', '±17363', '', '(X)', '(X)', '(X)']
10128 Families Estimate,['13305', '3.7%', '1.2%', '2.7%', '0.3%', '2.8%', '8.6%', '8.2%', '11.4%', '10.5%', '50.7%', '206097', '313231', '', '(X)', '35.7%', '(X)']
10128 Families Margin of Error,['±931', '±2.0', '±0.7', '±1.1', '±0.3', '±1.5', '±2.9', '±2.5', '±2.5', '±2.0', '±4.3', '±23997', '±28472', '', '(X)', '(X)', '(X)']
10128 Married-couple families Estimate,['10429', '0.6%', '0.3%', '3.0%', '0.4%', '2.0%', '3.5%', '8.0%', '9.9%', '11.9%', '60.5%', '249067', 'N', '', '(X)', '(X)', '(X)']
10128 Married-couple families Margin of Error,['±825', '±0.6', '±0.3', '±1.3', '±0.4', '±1.4', '±1.7', '±2.4', '±2.6', '±2.1', '±4.4', '±12190', 'N', '', '(X)', '(X)', '(X)']
10128 Nonfamily households Estimate,['16046', '6.8%', '4.4%', '5.3%', '9.1%', '3.9%', '11.0%', '12.1%', '17.8%', '11.4%', '18.1%', '95738', '138843', '', '(X)', '(X)', '27.2%']
10128 Nonfamily households Margin of Error,['±1271', '±3.0', '±2.2', '±1.7', '±4.0', '±1.5', '±2.4', '±3.1', '±3.6', '±2.4', '±3.4', '±7795', '±24984', '', '(X)', '(X)', '(X)']
10152 Households Estimate,['0', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '', '-', '(X)', '(X)']
10152 Households Margin of Error,['±13', '**', '**', '**', '**', '**', '**', '**', '**', '**', '**', '**', '**', '', '(X)', '(X)', '(X)']
10152 Families Estimate,['0', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '', '(X)', '-', '(X)']
10152 Families Margin of Error,['±13', '**', '**', '**', '**', '**', '**', '**', '**', '**', '**', '**', '**', '', '(X)', '(X)', '(X)']
10152 Married-couple families Estimate,['0', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '', '(X)', '(X)', '(X)']
10152 Married-couple families Margin of Error,['±13', '**', '**', '**', '**', '**', '**', '**', '**', '**', '**', '**', '**', '', '(X)', '(X)', '(X)']
10152 Nonfamily households Estimate,['0', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '', '(X)', '(X)', '-']
10152 Nonfamily households Margin of Error,['±13', '**', '**', '**', '**', '**', '**', '**', '**', '**', '**', '**', '**', '', '(X)', '(X)', '(X)']
10153 Households Estimate,['0', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '', '-', '(X)', '(X)']
10153 Households Margin of Error,['±13', '**', '**', '**', '**', '**', '**', '**', '**', '**', '**', '**', '**', '', '(X)', '(X)', '(X)']
10153 Families Estimate,['0', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '', '(X)', '-', '(X)']
10153 Families Margin of Error,['±13', '**', '**', '**', '**', '**', '**', '**', '**', '**', '**', '**', '**', '', '(X)', '(X)', '(X)']
10153 Married-couple families Estimate,['0', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '', '(X)', '(X)', '(X)']
10153 Married-couple families Margin of Error,['±13', '**', '**', '**', '**', '**', '**', '**', '**', '**', '**', '**', '**', '', '(X)', '(X)', '(X)']
10153 Nonfamily households Estimate,['0', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '', '(X)', '(X)', '-']
10153 Nonfamily households Margin of Error,['±13', '**', '**', '**', '**', '**', '**', '**', '**', '**', '**', '**', '**', '', '(X)', '(X)', '(X)']
10154 Households Estimate,['0', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '', '-', '(X)', '(X)']
10154 Households Margin of Error,['±13', '**', '**', '**', '**', '**', '**', '**', '**', '**', '**', '**', '**', '', '(X)', '(X)', '(X)']
10154 Families Estimate,['0', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '', '(X)', '-', '(X)']
10154 Families Margin of Error,['±13', '**', '**', '**', '**', '**', '**', '**', '**', '**', '**', '**', '**', '', '(X)', '(X)', '(X)']
10154 Married-couple families Estimate,['0', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '', '(X)', '(X)', '(X)']
10154 Married-couple families Margin of Error,['±13', '**', '**', '**', '**', '**', '**', '**', '**', '**', '**', '**', '**', '', '(X)', '(X)', '(X)']
10154 Nonfamily households Estimate,['0', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '', '(X)', '(X)', '-']
10154 Nonfamily households Margin of Error,['±13', '**', '**', '**', '**', '**', '**', '**', '**', '**', '**', '**', '**', '', '(X)', '(X)', '(X)']
10162 Households Estimate,['1208', '0.0%', '0.0%', '13.5%', '5.4%', '0.0%', '0.0%', '39.2%', '14.8%', '8.9%', '18.2%', '99300', '146926', '', '43.7%', '(X)', '(X)']
10162 Households Margin of Error,['±515', '±3.1', '±3.1', '±19.8', '±9.4', '±3.1', '±3.1', '±32.1', '±18.9', '±12.5', '±18.7', '±16969', '±69605', '', '(X)', '(X)', '(X)']
10162 Families Estimate,['547', '0.0%', '0.0%', '29.8%', '0.0%', '0.0%', '0.0%', '22.7%', '15.2%', '0.0%', '32.4%', '-', '187992', '', '(X)', '65.1%', '(X)']
10162 Families Margin of Error,['±334', '±6.6', '±6.6', '±37.1', '±6.6', '±6.6', '±6.6', '±31.4', '±26.7', '±6.6', '±32.6', '**', '±145599', '', '(X)', '(X)', '(X)']
10162 Married-couple families Estimate,['415', '0.0%', '0.0%', '39.3%', '0.0%', '0.0%', '0.0%', '18.1%', '0.0%', '0.0%', '42.7%', '-', 'N', '', '(X)', '(X)', '(X)']
10162 Married-couple families Margin of Error,['±320', '±8.6', '±8.6', '±47.0', '±8.6', '±8.6', '±8.6', '±35.5', '±8.6', '±8.6', '±42.3', '**', 'N', '', '(X)', '(X)', '(X)']
10162 Nonfamily households Estimate,['661', '0.0%', '0.0%', '0.0%', '9.8%', '0.0%', '0.0%', '53.0%', '14.5%', '16.2%', '6.5%', '99396', '112943', '', '(X)', '(X)', '26.0%']
10162 Nonfamily households Margin of Error,['±374', '±5.5', '±5.5', '±5.5', '±17.4', '±5.5', '±5.5', '±42.4', '±25.6', '±24.3', '±14.3', '±12461', '±23776', '', '(X)', '(X)', '(X)']
10165 Households Estimate,['0', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '', '-', '(X)', '(X)']
10165 Households Margin of Error,['±13', '**', '**', '**', '**', '**', '**', '**', '**', '**', '**', '**', '**', '', '(X)', '(X)', '(X)']
10165 Families Estimate,['0', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '', '(X)', '-', '(X)']
10165 Families Margin of Error,['±13', '**', '**', '**', '**', '**', '**', '**', '**', '**', '**', '**', '**', '', '(X)', '(X)', '(X)']
10165 Married-couple families Estimate,['0', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '', '(X)', '(X)', '(X)']
10165 Married-couple families Margin of Error,['±13', '**', '**', '**', '**', '**', '**', '**', '**', '**', '**', '**', '**', '', '(X)', '(X)', '(X)']
10165 Nonfamily households Estimate,['0', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '', '(X)', '(X)', '-']
10165 Nonfamily households Margin of Error,['±13', '**', '**', '**', '**', '**', '**', '**', '**', '**', '**', '**', '**', '', '(X)', '(X)', '(X)']
10167 Households Estimate,['0', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '', '-', '(X)', '(X)']
10167 Households Margin of Error,['±13', '**', '**', '**', '**', '**', '**', '**', '**', '**', '**', '**', '**', '', '(X)', '(X)', '(X)']
10167 Families Estimate,['0', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '', '(X)', '-', '(X)']
10167 Families Margin of Error,['±13', '**', '**', '**', '**', '**', '**', '**', '**', '**', '**', '**', '**', '', '(X)', '(X)', '(X)']
10167 Married-couple families Estimate,['0', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '', '(X)', '(X)', '(X)']
10167 Married-couple families Margin of Error,['±13', '**', '**', '**', '**', '**', '**', '**', '**', '**', '**', '**', '**', '', '(X)', '(X)', '(X)']
10167 Nonfamily households Estimate,['0', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '', '(X)', '(X)', '-']
10167 Nonfamily households Margin of Error,['±13', '**', '**', '**', '**', '**', '**', '**', '**', '**', '**', '**', '**', '', '(X)', '(X)', '(X)']
10168 Households Estimate,['0', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '', '-', '(X)', '(X)']
10168 Households Margin of Error,['±13', '**', '**', '**', '**', '**', '**', '**', '**', '**', '**', '**', '**', '', '(X)', '(X)', '(X)']
10168 Families Estimate,['0', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '', '(X)', '-', '(X)']
10168 Families Margin of Error,['±13', '**', '**', '**', '**', '**', '**', '**', '**', '**', '**', '**', '**', '', '(X)', '(X)', '(X)']
10168 Married-couple families Estimate,['0', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '', '(X)', '(X)', '(X)']
10168 Married-couple families Margin of Error,['±13', '**', '**', '**', '**', '**', '**', '**', '**', '**', '**', '**', '**', '', '(X)', '(X)', '(X)']
10168 Nonfamily households Estimate,['0', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '', '(X)', '(X)', '-']
10168 Nonfamily households Margin of Error,['±13', '**', '**', '**', '**', '**', '**', '**', '**', '**', '**', '**', '**', '', '(X)', '(X)', '(X)']
10169 Households Estimate,['0', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '', '-', '(X)', '(X)']
10169 Households Margin of Error,['±13', '**', '**', '**', '**', '**', '**', '**', '**', '**', '**', '**', '**', '', '(X)', '(X)', '(X)']
10169 Families Estimate,['0', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '', '(X)', '-', '(X)']
10169 Families Margin of Error,['±13', '**', '**', '**', '**', '**', '**', '**', '**', '**', '**', '**', '**', '', '(X)', '(X)', '(X)']
10169 Married-couple families Estimate,['0', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '', '(X)', '(X)', '(X)']
10169 Married-couple families Margin of Error,['±13', '**', '**', '**', '**', '**', '**', '**', '**', '**', '**', '**', '**', '', '(X)', '(X)', '(X)']
10169 Nonfamily households Estimate,['0', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '', '(X)', '(X)', '-']
10169 Nonfamily households Margin of Error,['±13', '**', '**', '**', '**', '**', '**', '**', '**', '**', '**', '**', '**', '', '(X)', '(X)', '(X)']
10170 Households Estimate,['0', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '', '-', '(X)', '(X)']
10170 Households Margin of Error,['±13', '**', '**', '**', '**', '**', '**', '**', '**', '**', '**', '**', '**', '', '(X)', '(X)', '(X)']
10170 Families Estimate,['0', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '', '(X)', '-', '(X)']
10170 Families Margin of Error,['±13', '**', '**', '**', '**', '**', '**', '**', '**', '**', '**', '**', '**', '', '(X)', '(X)', '(X)']
10170 Married-couple families Estimate,['0', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '', '(X)', '(X)', '(X)']
10170 Married-couple families Margin of Error,['±13', '**', '**', '**', '**', '**', '**', '**', '**', '**', '**', '**', '**', '', '(X)', '(X)', '(X)']
10170 Nonfamily households Estimate,['0', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '', '(X)', '(X)', '-']
10170 Nonfamily households Margin of Error,['±13', '**', '**', '**', '**', '**', '**', '**', '**', '**', '**', '**', '**', '', '(X)', '(X)', '(X)']
10171 Households Estimate,['0', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '', '-', '(X)', '(X)']
10171 Households Margin of Error,['±13', '**', '**', '**', '**', '**', '**', '**', '**', '**', '**', '**', '**', '', '(X)', '(X)', '(X)']
10171 Families Estimate,['0', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '', '(X)', '-', '(X)']
10171 Families Margin of Error,['±13', '**', '**', '**', '**', '**', '**', '**', '**', '**', '**', '**', '**', '', '(X)', '(X)', '(X)']
10171 Married-couple families Estimate,['0', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '', '(X)', '(X)', '(X)']
10171 Married-couple families Margin of Error,['±13', '**', '**', '**', '**', '**', '**', '**', '**', '**', '**', '**', '**', '', '(X)', '(X)', '(X)']
10171 Nonfamily households Estimate,['0', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '', '(X)', '(X)', '-']
10171 Nonfamily households Margin of Error,['±13', '**', '**', '**', '**', '**', '**', '**', '**', '**', '**', '**', '**', '', '(X)', '(X)', '(X)']
10172 Households Estimate,['0', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '', '-', '(X)', '(X)']
10172 Households Margin of Error,['±13', '**', '**', '**', '**', '**', '**', '**', '**', '**', '**', '**', '**', '', '(X)', '(X)', '(X)']
10172 Families Estimate,['0', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '', '(X)', '-', '(X)']
10172 Families Margin of Error,['±13', '**', '**', '**', '**', '**', '**', '**', '**', '**', '**', '**', '**', '', '(X)', '(X)', '(X)']
10172 Married-couple families Estimate,['0', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '', '(X)', '(X)', '(X)']
10172 Married-couple families Margin of Error,['±13', '**', '**', '**', '**', '**', '**', '**', '**', '**', '**', '**', '**', '', '(X)', '(X)', '(X)']
10172 Nonfamily households Estimate,['0', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '', '(X)', '(X)', '-']
10172 Nonfamily households Margin of Error,['±13', '**', '**', '**', '**', '**', '**', '**', '**', '**', '**', '**', '**', '', '(X)', '(X)', '(X)']
10173 Households Estimate,['0', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '', '-', '(X)', '(X)']
10173 Households Margin of Error,['±13', '**', '**', '**', '**', '**', '**', '**', '**', '**', '**', '**', '**', '', '(X)', '(X)', '(X)']
10173 Families Estimate,['0', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '', '(X)', '-', '(X)']
10173 Families Margin of Error,['±13', '**', '**', '**', '**', '**', '**', '**', '**', '**', '**', '**', '**', '', '(X)', '(X)', '(X)']
10173 Married-couple families Estimate,['0', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '', '(X)', '(X)', '(X)']
10173 Married-couple families Margin of Error,['±13', '**', '**', '**', '**', '**', '**', '**', '**', '**', '**', '**', '**', '', '(X)', '(X)', '(X)']
10173 Nonfamily households Estimate,['0', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '', '(X)', '(X)', '-']
10173 Nonfamily households Margin of Error,['±13', '**', '**', '**', '**', '**', '**', '**', '**', '**', '**', '**', '**', '', '(X)', '(X)', '(X)']
10174 Households Estimate,['0', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '', '-', '(X)', '(X)']
10174 Households Margin of Error,['±13', '**', '**', '**', '**', '**', '**', '**', '**', '**', '**', '**', '**', '', '(X)', '(X)', '(X)']
10174 Families Estimate,['0', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '', '(X)', '-', '(X)']
10174 Families Margin of Error,['±13', '**', '**', '**', '**', '**', '**', '**', '**', '**', '**', '**', '**', '', '(X)', '(X)', '(X)']
10174 Married-couple families Estimate,['0', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '', '(X)', '(X)', '(X)']
10174 Married-couple families Margin of Error,['±13', '**', '**', '**', '**', '**', '**', '**', '**', '**', '**', '**', '**', '', '(X)', '(X)', '(X)']
10174 Nonfamily households Estimate,['0', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '', '(X)', '(X)', '-']
10174 Nonfamily households Margin of Error,['±13', '**', '**', '**', '**', '**', '**', '**', '**', '**', '**', '**', '**', '', '(X)', '(X)', '(X)']
10177 Households Estimate,['0', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '', '-', '(X)', '(X)']
10177 Households Margin of Error,['±13', '**', '**', '**', '**', '**', '**', '**', '**', '**', '**', '**', '**', '', '(X)', '(X)', '(X)']
10177 Families Estimate,['0', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '', '(X)', '-', '(X)']
10177 Families Margin of Error,['±13', '**', '**', '**', '**', '**', '**', '**', '**', '**', '**', '**', '**', '', '(X)', '(X)', '(X)']
10177 Married-couple families Estimate,['0', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '', '(X)', '(X)', '(X)']
10177 Married-couple families Margin of Error,['±13', '**', '**', '**', '**', '**', '**', '**', '**', '**', '**', '**', '**', '', '(X)', '(X)', '(X)']
10177 Nonfamily households Estimate,['0', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '', '(X)', '(X)', '-']
10177 Nonfamily households Margin of Error,['±13', '**', '**', '**', '**', '**', '**', '**', '**', '**', '**', '**', '**', '', '(X)', '(X)', '(X)']
10199 Households Estimate,['0', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '', '-', '(X)', '(X)']
10199 Households Margin of Error,['±13', '**', '**', '**', '**', '**', '**', '**', '**', '**', '**', '**', '**', '', '(X)', '(X)', '(X)']
10199 Families Estimate,['0', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '', '(X)', '-', '(X)']
10199 Families Margin of Error,['±13', '**', '**', '**', '**', '**', '**', '**', '**', '**', '**', '**', '**', '', '(X)', '(X)', '(X)']
10199 Married-couple families Estimate,['0', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '', '(X)', '(X)', '(X)']
10199 Married-couple families Margin of Error,['±13', '**', '**', '**', '**', '**', '**', '**', '**', '**', '**', '**', '**', '', '(X)', '(X)', '(X)']
10199 Nonfamily households Estimate,['0', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '', '(X)', '(X)', '-']
10199 Nonfamily households Margin of Error,['±13', '**', '**', '**', '**', '**', '**', '**', '**', '**', '**', '**', '**', '', '(X)', '(X)', '(X)']
10271 Households Estimate,['0', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '', '-', '(X)', '(X)']
10271 Households Margin of Error,['±13', '**', '**', '**', '**', '**', '**', '**', '**', '**', '**', '**', '**', '', '(X)', '(X)', '(X)']
10271 Families Estimate,['0', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '', '(X)', '-', '(X)']
10271 Families Margin of Error,['±13', '**', '**', '**', '**', '**', '**', '**', '**', '**', '**', '**', '**', '', '(X)', '(X)', '(X)']
10271 Married-couple families Estimate,['0', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '', '(X)', '(X)', '(X)']
10271 Married-couple families Margin of Error,['±13', '**', '**', '**', '**', '**', '**', '**', '**', '**', '**', '**', '**', '', '(X)', '(X)', '(X)']
10271 Nonfamily households Estimate,['0', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '', '(X)', '(X)', '-']
10271 Nonfamily households Margin of Error,['±13', '**', '**', '**', '**', '**', '**', '**', '**', '**', '**', '**', '**', '', '(X)', '(X)', '(X)']
10278 Households Estimate,['0', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '', '-', '(X)', '(X)']
10278 Households Margin of Error,['±13', '**', '**', '**', '**', '**', '**', '**', '**', '**', '**', '**', '**', '', '(X)', '(X)', '(X)']
10278 Families Estimate,['0', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '', '(X)', '-', '(X)']
10278 Families Margin of Error,['±13', '**', '**', '**', '**', '**', '**', '**', '**', '**', '**', '**', '**', '', '(X)', '(X)', '(X)']
10278 Married-couple families Estimate,['0', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '', '(X)', '(X)', '(X)']
10278 Married-couple families Margin of Error,['±13', '**', '**', '**', '**', '**', '**', '**', '**', '**', '**', '**', '**', '', '(X)', '(X)', '(X)']
10278 Nonfamily households Estimate,['0', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '', '(X)', '(X)', '-']
10278 Nonfamily households Margin of Error,['±13', '**', '**', '**', '**', '**', '**', '**', '**', '**', '**', '**', '**', '', '(X)', '(X)', '(X)']
10279 Households Estimate,['56', '0.0%', '0.0%', '0.0%', '0.0%', '0.0%', '0.0%', '0.0%', '0.0%', '0.0%', '100.0%', '-', 'N', '', '0.0%', '(X)', '(X)']
10279 Households Margin of Error,['±71', '±42.6', '±42.6', '±42.6', '±42.6', '±42.6', '±42.6', '±42.6', '±42.6', '±42.6', '±42.6', '**', 'N', '', '(X)', '(X)', '(X)']
10279 Families Estimate,['12', '0.0%', '0.0%', '0.0%', '0.0%', '0.0%', '0.0%', '0.0%', '0.0%', '0.0%', '100.0%', '-', 'N', '', '(X)', '0.0%', '(X)']
10279 Families Margin of Error,['±21', '±92.0', '±92.0', '±92.0', '±92.0', '±92.0', '±92.0', '±92.0', '±92.0', '±92.0', '±92.0', '**', 'N', '', '(X)', '(X)', '(X)']
10279 Married-couple families Estimate,['12', '0.0%', '0.0%', '0.0%', '0.0%', '0.0%', '0.0%', '0.0%', '0.0%', '0.0%', '100.0%', '-', 'N', '', '(X)', '(X)', '(X)']
10279 Married-couple families Margin of Error,['±21', '±92.0', '±92.0', '±92.0', '±92.0', '±92.0', '±92.0', '±92.0', '±92.0', '±92.0', '±92.0', '**', 'N', '', '(X)', '(X)', '(X)']
10279 Nonfamily households Estimate,['44', '0.0%', '0.0%', '0.0%', '0.0%', '0.0%', '0.0%', '0.0%', '0.0%', '0.0%', '100.0%', '-', 'N', '', '(X)', '(X)', '0.0%']
10279 Nonfamily households Margin of Error,['±68', '±48.0', '±48.0', '±48.0', '±48.0', '±48.0', '±48.0', '±48.0', '±48.0', '±48.0', '±48.0', '**', 'N', '', '(X)', '(X)', '(X)']
10280 Households Estimate,['4208', '0.9%', '1.1%', '0.0%', '0.5%', '2.7%', '4.9%', '12.4%', '17.4%', '15.2%', '45.0%', '178148', '259093', '', '28.3%', '(X)', '(X)']
10280 Households Margin of Error,['±633', '±1.4', '±1.9', '±0.9', '±0.8', '±2.4', '±3.2', '±6.9', '±6.2', '±8.0', '±8.9', '±35936', '±32353', '', '(X)', '(X)', '(X)']
10280 Families Estimate,['1985', '0.0%', '2.4%', '0.0%', '1.1%', '2.0%', '4.3%', '5.3%', '9.7%', '21.7%', '53.6%', '221641', '322526', '', '(X)', '27.3%', '(X)']
10280 Families Margin of Error,['±447', '±1.9', '±3.8', '±1.9', '±1.7', '±3.4', '±4.2', '±5.5', '±5.4', '±15.0', '±14.3', '±67201', '±62655', '', '(X)', '(X)', '(X)']
10280 Married-couple families Estimate,['1717', '0.0%', '2.8%', '0.0%', '1.2%', '0.0%', '1.9%', '2.0%', '8.4%', '23.6%', '60.0%', '250000+', 'N', '', '(X)', '(X)', '(X)']
10280 Married-couple families Margin of Error,['±433', '±2.2', '±4.5', '±2.2', '±2.0', '±2.2', '±3.2', '±2.5', '±5.9', '±16.7', '±15.6', '***', 'N', '', '(X)', '(X)', '(X)']
10280 Nonfamily households Estimate,['2223', '1.6%', '0.0%', '0.0%', '0.0%', '5.1%', '5.5%', '18.7%', '22.5%', '9.3%', '37.2%', '138938', '201047', '', '(X)', '(X)', '27.8%']
10280 Nonfamily households Margin of Error,['±552', '±2.6', '±1.7', '±1.7', '±1.7', '±4.5', '±4.6', '±11.7', '±10.8', '±5.5', '±14.8', '±37464', '±39766', '', '(X)', '(X)', '(X)']
10282 Households Estimate,['2581', '1.7%', '1.0%', '1.9%', '0.0%', '0.5%', '0.0%', '1.8%', '11.6%', '11.7%', '69.9%', '250000+', '442237', '', '39.2%', '(X)', '(X)']
10282 Households Margin of Error,['±360', '±2.4', '±1.1', '±2.5', '±1.4', '±0.8', '±1.4', '±1.8', '±5.9', '±9.0', '±9.9', '***', '±77407', '', '(X)', '(X)', '(X)']
10282 Families Estimate,['1648', '0.1%', '0.0%', '0.0%', '0.0%', '3.9%', '0.0%', '3.2%', '10.3%', '11.2%', '71.4%', '250000+', '458325', '', '(X)', '40.0%', '(X)']
10282 Families Margin of Error,['±290', '±0.2', '±2.2', '±2.2', '±2.2', '±5.0', '±2.2', '±4.1', '±6.6', '±12.7', '±12.9', '***', '±93806', '', '(X)', '(X)', '(X)']
10282 Married-couple families Estimate,['1306', '0.0%', '0.0%', '0.0%', '0.0%', '0.0%', '0.0%', '0.9%', '6.7%', '12.3%', '80.0%', '250000+', 'N', '', '(X)', '(X)', '(X)']
10282 Married-couple families Margin of Error,['±314', '±2.8', '±2.8', '±2.8', '±2.8', '±2.8', '±2.8', '±1.5', '±5.1', '±15.4', '±15.3', '***', 'N', '', '(X)', '(X)', '(X)']
10282 Nonfamily households Estimate,['933', '4.6%', '2.7%', '5.3%', '0.0%', '0.0%', '0.0%', '3.6%', '14.0%', '9.5%', '60.2%', '214243', '387312', '', '(X)', '(X)', '37.9%']
